character_removal_distribution,exact_match,f1,epoch,eval_loss
"{0: 1, 1: 0}",69.0,79.83290816779719,1.0,1.2954301834106443
"{0: 0.97, 1: 0.03}",68.13333333333334,78.53036944027953,1.0,1.3289726972579956
