word_removal_distribution,exact_match,f1,epoch,eval_loss,covidQA_loss,covidQA_exact_match,covidQA_f1
"{0: 1, 1: 0}",71.98,81.90749105417534,1.0,1.2377806901931765,0.7863829135894775,42.264150943396224,54.34012100022179
"{0: 0.97, 1: 0.03}",71.88,81.67080092604076,1.0,1.2372655868530271,0.7756980657577515,40.0,51.309360150377394
"{0: 0.94, 1: 0.06}",72.2,81.99663609985298,1.0,1.2212733030319214,0.7597437500953674,40.75471698113208,51.595185237594
"{0: 0.91, 1: 0.09}",71.52,81.15425434818988,1.0,1.2538676261901855,0.8173754215240479,41.509433962264154,52.114789309196475
